framework              , test                                                         , time     , p95      , p99      , cv       , group          , family                   , metrics                                                                                         
alien-signals          , 32x8 - 4 sources - push (pure push)                          , 138.87   , 141.85   , 142.03   , 0.015    , pull           , stable rectangular DAG   , nodesRecomputed=910133 nodesVisited=910133 edgesTraversed=3640532 sinkReads=220010              
alien-signals          , 10x5 - 2 sources - read 20% (simple component)               , 229.89   , 234.28   , 234.41   , 0.016    , pull           , stable rectangular DAG   , nodesRecomputed=3180010 nodesVisited=3180010 edgesTraversed=6360020 sinkReads=1200002           
alien-signals          , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 219.74   , 243.83   , 244.48   , 0.049    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1140004 nodesVisited=1140004 edgesTraversed=6839936 sinkReads=30002             
alien-signals          , 1000x12 - 4 sources - dynamic (large web app)                , 331.15   , 343.32   , 345.95   , 0.022    , dynamic        , dynamic rectangular DAG  , nodesRecomputed=1473786 nodesVisited=1473786 edgesTraversed=5891713 sinkReads=7001000           
alien-signals          , 1000x5 - 25 sources (wide dense)                             , 527.36   , 540.72   , 542.77   , 0.021    , pull           , stable rectangular DAG   , nodesRecomputed=735756 nodesVisited=735756 edgesTraversed=18393900 sinkReads=3001000            
alien-signals          , 5x500 - 3 sources (deep)                                     , 181.18   , 196.51   , 201.27   , 0.050    , pull           , stable rectangular DAG   , nodesRecomputed=1246502 nodesVisited=1246502 edgesTraversed=3739506 sinkReads=2505              
@solidjs/signals       , avoidablePropagation                                         , 1074.06  , 1116.29  , 1121.00  , 0.018    , baseline       , selective propagation    ,                                                                                                 
@solidjs/signals       , broadPropagation                                             , 1968.19  , 1994.60  , 1995.40  , 0.010    , baseline       , wide fan-out             ,                                                                                                 
@solidjs/signals       , deepPropagation                                              , 658.63   , 690.55   , 709.39   , 0.026    , pull           , linear chain             ,                                                                                                 
@solidjs/signals       , diamond                                                      , 1367.59  , 1405.24  , 1424.41  , 0.014    , baseline       , diamond                  ,                                                                                                 
@solidjs/signals       , mux                                                          , 623.39   , 670.52   , 693.29   , 0.037    , dynamic        , dynamic branch           ,                                                                                                 
@solidjs/signals       , repeatedObservers                                            , 288.96   , 314.63   , 329.51   , 0.048    , baseline       , duplicate observer       ,                                                                                                 
@solidjs/signals       , triangle                                                     , 456.99   , 489.62   , 510.16   , 0.039    , baseline       , glitch-free triangle     ,                                                                                                 
@solidjs/signals       , unstable                                                     , 356.24   , 389.44   , 407.80   , 0.046    , dynamic        , dynamic dependency churn ,                                                                                                 
@solidjs/signals       , manyEffectsFromOneSource                                     , 1609.72  , 1617.90  , 1619.43  , 0.013    , push           , wide fan-out             , checksum=180075672000                                                                           
