framework              , test                                                         , time    
uSignal                , 1000x5 - 25 sources (wide dense)                             , 1525.72 
uSignal                , 5x500 - 3 sources (deep)                                     , 479.25  
@vue/reactivity        , avoidablePropagation                                         , 583.47  
@vue/reactivity        , broadPropagation                                             , 549.22  
@vue/reactivity        , deepPropagation                                              , 208.05  
@vue/reactivity        , diamond                                                      , 457.29  
@vue/reactivity        , mux                                                          , 528.14  
@vue/reactivity        , repeatedObservers                                            , 70.79   
@vue/reactivity        , triangle                                                     , 141.13  
@vue/reactivity        , unstable                                                     , 105.35  
@vue/reactivity        , molBench                                                     , 1394.99 
@vue/reactivity        , createDataSignals                                            , 49.89   
@vue/reactivity        , createComputations0to1                                       , 50.08   
@vue/reactivity        , createComputations1to1                                       , 57.03   
@vue/reactivity        , createComputations2to1                                       , 52.05   
@vue/reactivity        , createComputations4to1                                       , 56.26   
@vue/reactivity        , createComputations1000to1                                    , 44.83   
@vue/reactivity        , createComputations1to2                                       , 55.70   
@vue/reactivity        , createComputations1to4                                       , 54.12   
@vue/reactivity        , createComputations1to8                                       , 53.24   
@vue/reactivity        , createComputations1to1000                                    , 49.51   
@vue/reactivity        , updateComputations1to1                                       , 48.43   
@vue/reactivity        , updateComputations2to1                                       , 48.43   
@vue/reactivity        , updateComputations4to1                                       , 46.91   
@vue/reactivity        , updateComputations1000to1                                    , 41.53   
@vue/reactivity        , updateComputations1to2                                       , 44.67   
@vue/reactivity        , updateComputations1to4                                       , 45.23   
@vue/reactivity        , updateComputations1to1000                                    , 47.06   
@vue/reactivity        , 10x5 - 2 sources - read 20% (simple component)               , 433.17  
@vue/reactivity        , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 358.45  
@vue/reactivity        , 1000x12 - 4 sources - dynamic (large web app)                , 3973.06 
@vue/reactivity        , 1000x5 - 25 sources (wide dense)                             , 6178.29 
@vue/reactivity        , 5x500 - 3 sources (deep)                                     , 323.47  
MobX                   , avoidablePropagation                                         , 1221.06 
MobX                   , broadPropagation                                             , 2252.47 
MobX                   , deepPropagation                                              , 750.19  
MobX                   , diamond                                                      , 1406.18 
MobX                   , mux                                                          , 856.46  
MobX                   , repeatedObservers                                            , 153.32  
MobX                   , triangle                                                     , 455.45  
MobX                   , unstable                                                     , 303.02  
MobX                   , molBench                                                     , 704.49  
MobX                   , createDataSignals                                            , 53.74   
MobX                   , createComputations0to1                                       , 61.41   
MobX                   , createComputations1to1                                       , 68.04   
MobX                   , createComputations2to1                                       , 60.03   
MobX                   , createComputations4to1                                       , 54.81   
MobX                   , createComputations1000to1                                    , 54.59   
MobX                   , createComputations1to2                                       , 64.33   
MobX                   , createComputations1to4                                       , 65.13   
MobX                   , createComputations1to8                                       , 61.71   
MobX                   , createComputations1to1000                                    , 64.33   
MobX                   , updateComputations1to1                                       , 57.38   
MobX                   , updateComputations2to1                                       , 52.19   
MobX                   , updateComputations4to1                                       , 48.54   
MobX                   , updateComputations1000to1                                    , 49.49   
MobX                   , updateComputations1to2                                       , 52.11   
MobX                   , updateComputations1to4                                       , 48.72   
MobX                   , updateComputations1to1000                                    , 57.76   
MobX                   , 10x5 - 2 sources - read 20% (simple component)               , 989.62  
MobX                   , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 938.14  
MobX                   , 1000x12 - 4 sources - dynamic (large web app)                , 1278.09 
MobX                   , 1000x5 - 25 sources (wide dense)                             , 2152.67 
MobX                   , 5x500 - 3 sources (deep)                                     , 776.41  
