framework              , test                                                         , time    
SolidJS                , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 741.31  
SolidJS                , 1000x12 - 4 sources - dynamic (large web app)                , 1044.82 
SolidJS                , 1000x5 - 25 sources (wide dense)                             , 1400.51 
SolidJS                , 5x500 - 3 sources (deep)                                     , 596.78  
uSignal                , avoidablePropagation                                         , 1074.62 
uSignal                , broadPropagation                                             , 981.34  
uSignal                , deepPropagation                                              , 334.22  
uSignal                , diamond                                                      , 735.57  
uSignal                , mux                                                          , 849.03  
uSignal                , repeatedObservers                                            , 99.99   
uSignal                , triangle                                                     , 228.95  
uSignal                , unstable                                                     , 108.00  
uSignal                , molBench                                                     , 804.96  
uSignal                , createDataSignals                                            , 54.49   
uSignal                , createComputations0to1                                       , 67.68   
uSignal                , createComputations1to1                                       , 64.17   
uSignal                , createComputations2to1                                       , 74.61   
uSignal                , createComputations4to1                                       , 52.95   
uSignal                , createComputations1000to1                                    , 46.67   
uSignal                , createComputations1to2                                       , 74.37   
uSignal                , createComputations1to4                                       , 75.28   
uSignal                , createComputations1to8                                       , 69.97   
uSignal                , createComputations1to1000                                    , 67.14   
uSignal                , updateComputations1to1                                       , 56.03   
uSignal                , updateComputations2to1                                       , 73.75   
uSignal                , updateComputations4to1                                       , 49.94   
uSignal                , updateComputations1000to1                                    , 54.44   
uSignal                , updateComputations1to2                                       , 52.77   
uSignal                , updateComputations1to4                                       , 158.16  
uSignal                , updateComputations1to1000                                    , 48.45   
uSignal                , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 794.90  
uSignal                , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 1217.36 
uSignal                , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 844.76  
uSignal                , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 1314.65 
uSignal                , 10x5 - 2 sources - read 20% (simple component)               , 617.77  
uSignal                , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 547.56  
uSignal                , 1000x12 - 4 sources - dynamic (large web app)                , 770.49  
uSignal                , 1000x5 - 25 sources (wide dense)                             , 1460.24 
uSignal                , 5x500 - 3 sources (deep)                                     , 497.89  
@vue/reactivity        , avoidablePropagation                                         , 641.82  
@vue/reactivity        , broadPropagation                                             , 501.64  
@vue/reactivity        , deepPropagation                                              , 197.25  
@vue/reactivity        , diamond                                                      , 522.57  
@vue/reactivity        , mux                                                          , 498.74  
@vue/reactivity        , repeatedObservers                                            , 63.24   
@vue/reactivity        , triangle                                                     , 151.90  
@vue/reactivity        , unstable                                                     , 103.72  
@vue/reactivity        , molBench                                                     , 1247.27 
@vue/reactivity        , createDataSignals                                            , 57.09   
@vue/reactivity        , createComputations0to1                                       , 56.95   
@vue/reactivity        , createComputations1to1                                       , 61.98   
@vue/reactivity        , createComputations2to1                                       , 59.07   
@vue/reactivity        , createComputations4to1                                       , 60.57   
@vue/reactivity        , createComputations1000to1                                    , 51.81   
@vue/reactivity        , createComputations1to2                                       , 57.40   
@vue/reactivity        , createComputations1to4                                       , 60.82   
@vue/reactivity        , createComputations1to8                                       , 65.75   
@vue/reactivity        , createComputations1to1000                                    , 73.35   
@vue/reactivity        , updateComputations1to1                                       , 57.63   
@vue/reactivity        , updateComputations2to1                                       , 54.20   
@vue/reactivity        , updateComputations4to1                                       , 65.94   
@vue/reactivity        , updateComputations1000to1                                    , 50.36   
@vue/reactivity        , updateComputations1to2                                       , 55.76   
@vue/reactivity        , updateComputations1to4                                       , 51.52   
@vue/reactivity        , updateComputations1to1000                                    , 49.79   
@vue/reactivity        , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 1319.51 
@vue/reactivity        , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 1179.22 
@vue/reactivity        , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 1972.25 
@vue/reactivity        , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 1454.22 
@vue/reactivity        , 10x5 - 2 sources - read 20% (simple component)               , 568.91  
@vue/reactivity        , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 355.72  
@vue/reactivity        , 1000x12 - 4 sources - dynamic (large web app)                , 3738.83 
@vue/reactivity        , 1000x5 - 25 sources (wide dense)                             , 3110.47 
@vue/reactivity        , 5x500 - 3 sources (deep)                                     , 314.13  
MobX                   , avoidablePropagation                                         , 1241.28 
MobX                   , broadPropagation                                             , 2475.67 
MobX                   , deepPropagation                                              , 822.40  
MobX                   , diamond                                                      , 1376.62 
MobX                   , mux                                                          , 948.12  
MobX                   , repeatedObservers                                            , 135.90  
MobX                   , triangle                                                     , 452.47  
MobX                   , unstable                                                     , 261.49  
MobX                   , molBench                                                     , 630.92  
MobX                   , createDataSignals                                            , 58.58   
MobX                   , createComputations0to1                                       , 70.14   
MobX                   , createComputations1to1                                       , 71.69   
MobX                   , createComputations2to1                                       , 65.82   
MobX                   , createComputations4to1                                       , 68.35   
MobX                   , createComputations1000to1                                    , 68.63   
MobX                   , createComputations1to2                                       , 75.55   
MobX                   , createComputations1to4                                       , 72.11   
MobX                   , createComputations1to8                                       , 69.49   
MobX                   , createComputations1to1000                                    , 70.84   
MobX                   , updateComputations1to1                                       , 65.73   
MobX                   , updateComputations2to1                                       , 60.82   
MobX                   , updateComputations4to1                                       , 53.81   
MobX                   , updateComputations1000to1                                    , 61.17   
MobX                   , updateComputations1to2                                       , 60.91   
MobX                   , updateComputations1to4                                       , 52.11   
MobX                   , updateComputations1to1000                                    , 51.93   
MobX                   , 64x6 - 4 sources - dynamic - read 12% (dashboard selective r , 1553.93 
MobX                   , 24x8 - 3 sources - dynamic - read 40% (editor derived state) , 2394.14 
MobX                   , 120x7 - 5 sources - dynamic - read 18% (kanban board)        , 1263.23 
MobX                   , 40x10 - 4 sources - dynamic - read 60% (entity detail page)  , 2616.98 
MobX                   , 10x5 - 2 sources - read 20% (simple component)               , 1334.82 
MobX                   , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 961.99  
MobX                   , 1000x12 - 4 sources - dynamic (large web app)                , 1352.50 
MobX                   , 1000x5 - 25 sources (wide dense)                             , 1986.46 
MobX                   , 5x500 - 3 sources (deep)                                     , 740.31  
