framework              , test                                                         , time    
$mol_wire              , 10x5 - 2 sources - read 20% (simple component)               , 531.03  
$mol_wire              , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 456.95  
$mol_wire              , 1000x12 - 4 sources - dynamic (large web app)                , 633.08  
$mol_wire              , 1000x5 - 25 sources (wide dense)                             , 854.24  
$mol_wire              , 5x500 - 3 sources (deep)                                     , 382.07  
Oby                    , avoidablePropagation                                         , 568.32  
Oby                    , broadPropagation                                             , 731.91  
Oby                    , deepPropagation                                              , 285.05  
Oby                    , diamond                                                      , 571.63  
Oby                    , mux                                                          , 456.11  
Oby                    , repeatedObservers                                            , 123.27  
Oby                    , triangle                                                     , 174.43  
Oby                    , unstable                                                     , 142.47  
Oby                    , molBench                                                     , 703.01  
Oby                    , createDataSignals                                            , 86.93   
Oby                    , createComputations0to1                                       , 130.58  
Oby                    , createComputations1to1                                       , 192.34  
Oby                    , createComputations2to1                                       , 116.99  
Oby                    , createComputations4to1                                       , 146.12  
Oby                    , createComputations1000to1                                    , 178.57  
Oby                    , createComputations1to2                                       , 142.19  
Oby                    , createComputations1to4                                       , 157.31  
Oby                    , createComputations1to8                                       , 156.85  
Oby                    , createComputations1to1000                                    , 135.44  
Oby                    , updateComputations1to1                                       , 86.69   
Oby                    , updateComputations2to1                                       , 77.52   
Oby                    , updateComputations4to1                                       , 76.92   
Oby                    , updateComputations1000to1                                    , 78.03   
Oby                    , updateComputations1to2                                       , 76.64   
Oby                    , updateComputations1to4                                       , 75.82   
Oby                    , updateComputations1to1000                                    , 71.53   
Oby                    , 200x6 - 2 sources (diamond shared deps)                      , 158.79  
Oby                    , 5000x2 - 1 sources (broad fan-out)                           , 672.72  
Oby                    , 1x2 - 5000 sources (many sources one sink)                   , 416.50  
Oby                    , 200x20 - 8 sources - dynamic - read 50% (conditional churn)  , 6080.08 
Oby                    , 300x10 - 4 sources (stable after recompute)                  , 852.76  
Oby                    , 500x8 - 4 sources (hot reads stable graph)                   , 6211.46 
Oby                    , 3000x6 - 2 sources - read 2% (broad invalidation sparse read , 128.87  
Oby                    , 1x3 - 2 sources (many observers)                             , 79.39   
Oby                    , 5x300 - 3 sources - dynamic (deep dynamic)                   , 461.01  
Oby                    , 10000x2 - 2 sources (ultra wide shallow)                     , 544.71  
Oby                    , 10x5 - 2 sources - read 20% (simple component)               , 453.28  
Oby                    , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 419.80  
Oby                    , 1000x12 - 4 sources - dynamic (large web app)                , 657.64  
Oby                    , 1000x5 - 25 sources (wide dense)                             , 800.46  
Oby                    , 5x500 - 3 sources (deep)                                     , 363.89  
Signia                 , avoidablePropagation                                         , 679.30  
Signia                 , broadPropagation                                             , 617.33  
Signia                 , deepPropagation                                              , 236.52  
Signia                 , diamond                                                      , 576.83  
Signia                 , mux                                                          , 547.20  
Signia                 , repeatedObservers                                            , 119.18  
Signia                 , triangle                                                     , 180.79  
Signia                 , unstable                                                     , 137.59  
Signia                 , molBench                                                     , 592.87  
Signia                 , createDataSignals                                            , 101.31  
Signia                 , createComputations0to1                                       , 93.13   
Signia                 , createComputations1to1                                       , 114.87  
Signia                 , createComputations2to1                                       , 103.96  
Signia                 , createComputations4to1                                       , 92.29   
Signia                 , createComputations1000to1                                    , 92.08   
Signia                 , createComputations1to2                                       , 84.72   
Signia                 , createComputations1to4                                       , 89.70   
Signia                 , createComputations1to8                                       , 90.86   
Signia                 , createComputations1to1000                                    , 93.36   
Signia                 , updateComputations1to1                                       , 107.80  
Signia                 , updateComputations2to1                                       , 92.05   
Signia                 , updateComputations4to1                                       , 86.82   
Signia                 , updateComputations1000to1                                    , 73.66   
Signia                 , updateComputations1to2                                       , 92.58   
Signia                 , updateComputations1to4                                       , 88.99   
Signia                 , updateComputations1to1000                                    , 79.18   
Signia                 , 200x6 - 2 sources (diamond shared deps)                      , 495.74  
Signia                 , 5000x2 - 1 sources (broad fan-out)                           , 692.51  
Signia                 , 1x2 - 5000 sources (many sources one sink)                   , 264.06  
Signia                 , 200x20 - 8 sources - dynamic - read 50% (conditional churn)  , 6672.73 
Signia                 , 300x10 - 4 sources (stable after recompute)                  , 3913.08 
Signia                 , 500x8 - 4 sources (hot reads stable graph)                   , 53870.95
Signia                 , 3000x6 - 2 sources - read 2% (broad invalidation sparse read , 455.00  
Signia                 , 1x3 - 2 sources (many observers)                             , 220.29  
Signia                 , 5x300 - 3 sources - dynamic (deep dynamic)                   , 364.56  
Signia                 , 10000x2 - 2 sources (ultra wide shallow)                     , 581.16  
Signia                 , 10x5 - 2 sources - read 20% (simple component)               , 441.24  
Signia                 , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 342.62  
Signia                 , 1000x12 - 4 sources - dynamic (large web app)                , 4180.04 
Signia                 , 1000x5 - 25 sources (wide dense)                             , 2831.14 
Signia                 , 5x500 - 3 sources (deep)                                     , 290.51  
@solidjs/signals       , avoidablePropagation                                         , 869.35  
@solidjs/signals       , broadPropagation                                             , 1764.87 
@solidjs/signals       , deepPropagation                                              , 606.40  
@solidjs/signals       , diamond                                                      , 1391.87 
@solidjs/signals       , mux                                                          , 605.21  
@solidjs/signals       , repeatedObservers                                            , 245.17  
@solidjs/signals       , triangle                                                     , 402.97  
@solidjs/signals       , unstable                                                     , 339.82  
@solidjs/signals       , molBench                                                     , 740.55  
@solidjs/signals       , createDataSignals                                            , 90.90   
@solidjs/signals       , createComputations0to1                                       , 152.94  
@solidjs/signals       , createComputations1to1                                       , 229.65  
@solidjs/signals       , createComputations2to1                                       , 204.95  
@solidjs/signals       , createComputations4to1                                       , 173.01  
@solidjs/signals       , createComputations1000to1                                    , 225.49  
@solidjs/signals       , createComputations1to2                                       , 196.99  
@solidjs/signals       , createComputations1to4                                       , 186.57  
@solidjs/signals       , createComputations1to8                                       , 182.04  
@solidjs/signals       , createComputations1to1000                                    , 166.22  
